Rupaul's Drag Race most followed Queens on Instagram:,,,,,,,,,,,,10 biggest gains of the week,,,,,,Dragula's most followed Queens on Instagram:,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Rank:,Queen:,Followers:,Season:,,,Verified:,,Season 1,,All Stars 1,,,,,,,,Rank:,Queen:,Followers:,Season:,Verified:,,Season 1
1,Adore Delano,,,,,,,Season 2,,All Stars 2,,,,,,,,1,Vander Von Odd,,,,,Season 2
2,Bianca Del Rio,,,,,,,Season 3,,All Stars 3,,,,,,,,2,Loris ,,,,,
3,Kim Chi,,,,,,,Season 4,,,,,,,,,,3,James Majesty,,,,,
4,Alaska Thunderfuck 5000,,,,,,,Season 5,,,,,,,,,,4,Victoria Elizabeth Black,,,,,
5,Kim Chi,,,,,,,Season 6,,,,,,,,,,5,Biqtch Puddin,,,,,
6,Trixie Mattel,,,,,,,Season 7,,,,,,,,,,6,Dahli,,,,,
7,Sasha Velour,,,,,,,Season 8,,,,,,,,,,7,Abhora,,,,,
8,Violet Chachki,,,,,,,Season 9,,,,,,,,,,8,Erika Klash,,,,,
9,Alyssa Edwards,,,,,,,Season 10,,,,,,,,,,9,Meatball,,,,,
10,Courtney Act,,,,,,,,,,,,,,,,,10,Melissa Befierce,,,,,
11,Aquaria,,,,,,,,,,,,,,,,,11,Disasterina,,,,,
12,Pearl,,,,,,,,,,,,,,,,,12,Xochi Mochi,,,,,
13,Miss Fame ,977K,,,,,,,,,,,,,,,,13,Monikkie Shame,,,,,
14,Bob the Drag Queen,974K,,,,,,,,,,,,,,,,14,Ursula Major,,,,,
15,Aja,949K,,,,,,,,,,,,,,,,15,Pinche Queen,,,,,
16,Naomi Smalls,935K,,,,,,,,,,,,,,,,16,Frankie Doom,,,,,
17,Sharon Needles,926K,,,,,,,,,,,,,,,,17,Felony Dodger,,,,,
18,Valentina,909K,,,,,,,,,,,,,,,,18,Kendra Onixx,,,,,
19,WIllam,881K,,,,,,,,,,,,,,,,19,Foxie Adjuia,,,,,
20,Detox,835K,,,,,,,,,,,,,,,,,,,,,,
21,Shangela,833K,,,,,,,,,,,,,,,,,,,,,,
22,Jinkx Monsoon,826K,,,,,,,,,,,,,,,,,,,,,,
23,Milk,812K,,,,,,,,,,,,,,,,,,,,,,
24,Miz Cracker,803K,,,,,,,,,,,,,,,,,,,,,,
25,Farrah Moan,793K,,,,,,,,,,,,,,,,,,,,,,
26,BenDelaCreme,774K,,,,,,,,,,,,,,,,,,,,,,
27,Shea Coulee,682K,,,,,,,,,,,,,,,,,,,,,,
28,Raja,667K,,,,,,,,,,,,,,,,,,,,,,
29,Kameron MIchaels,645K,,,,,,,,,,,,,,,,,,,,,,
30,Latrice Royale,641K,,,,,,,,,,,,,,,,,,,,,,
31,Thorgy Thor,585K,,,,,,,,,,,,,,,,,,,,,,
32,Tatianna,573K,,,,,,,,,,,,,,,,,,,,,,
33,Manila Luzon,565K,,,,,,,,,,,,,,,,,,,,,,
34,Blair St. Clair,514K,,,,,,,,,,,,,,,,,,,,,,
35,Laganja Estranja,503K,,,,,,,,,,,,,,,,,,,,,,
36,Jujubee,492K,,,,,,,,,,,,,,,,,,,,,,
37,Trinity Taylor,478K,,,,,,,,,,,,,,,,,,,,,,
38,Peppermint,473K,,,,,,,,,,,,,,,,,,,,,,
