season,contestant,age,made_finale,winner,n_wins,n_highs,n_lows,n_lipsyncs,n_episodes,age_num,followers_june2017,followers_week23,had_any_lipsync,had_any_win,highs_per_episode,hometown,is_California,is_Florida,is_Georgia,is_Illinois,is_New_York,is_Puerto_Rico,is_Texas,is_international,lipsyncs_per_episode,location,log_followers_june2017,log_followers_week23,lows_per_episode,season_num,state_or_country,total_bottom,total_top,wins_per_episode
S01,Akashia,32,0,0,0,0,0,3,7,32.0,1189,,1,0,0.0,"Cleveland, Ohio",0,0,0,0,0,0,0,0,0.4286,"Cleveland, OH, USA",7.0817,,0.0,1,Ohio,3,0,0.0
S01,BeBe Zahara Benet,28,1,0,3,1,0,1,7,28.0,52000,,1,1,0.1429,"Minneapolis, Minnesota",0,0,0,0,0,0,0,0,0.1429,"Minneapolis, MN, USA",10.859,,0.0,1,Minnesota,1,4,0.4286
S01,Jade,32,1,0,0,0,1,1,7,32.0,,,1,0,0.0,"Chicago, Illinois",0,0,0,1,0,0,0,0,0.1429,NA,,,0.1429,1,Illinois,2,0,0.0
S01,Nina Flowers,34,1,0,1,4,1,0,7,34.0,79800,105000,0,1,0.5714,"Bayamón, Puerto Rico",0,0,0,0,0,1,0,0,0.0,"Dallas, TX, USA",11.2873,11.5617,0.1429,1,Puerto Rico,1,5,0.1429
S01,Ongina,26,0,0,2,2,0,1,7,26.0,92300,162000,1,1,0.2857,"Los Angeles, California",1,0,0,0,0,0,0,0,0.1429,"Los Angeles, CA, USA",11.4328,11.9954,0.0,1,California,1,4,0.2857
S01,Rebecca Glasscock,26,0,0,1,1,1,3,7,26.0,3265,,1,1,0.1429,"Fort Lauderdale, Florida",0,1,0,0,0,0,0,0,0.4286,NA,8.0913,,0.1429,1,Florida,4,2,0.1429
S01,Shannel,26,0,0,0,1,1,2,7,26.0,17500,,1,0,0.1429,"Las Vegas, Nevada",0,0,0,0,0,0,0,0,0.2857,NA,9.77,,0.1429,1,Nevada,3,1,0.0
S01,Tammie Brown,36,0,0,0,0,0,1,7,36.0,84000,157000,1,0,0.0,"Los Angeles, California",1,0,0,0,0,0,0,0,0.1429,"Long Beach, CA, USA",11.3386,11.964,0.0,1,California,1,0,0.0
S01,Victoria (Porkchop) Parker,39,0,0,0,0,0,1,7,39.0,,,1,0,0.0,"Raleigh, North Carolina",0,0,0,0,0,0,0,0,0.1429,,,,0.0,1,North Carolina,1,0,0.0
S02,Jessica Wild,29,0,0,1,2,0,1,10,29.0,65900,,1,1,0.2,"San Juan, Puerto Rico",0,0,0,0,0,1,0,0,0.1,"Boston, MA, USA",11.0959,,0.0,2,Puerto Rico,1,3,0.1
S02,Jujubee,25,1,0,0,2,1,4,10,25.0,321800,492000,1,0,0.2,"Boston, Massachusetts",0,0,0,0,0,0,0,0,0.4,NA,12.6817,13.1062,0.1,2,Massachusetts,5,2,0.0
S02,Morgan McMichaels,28,0,0,1,0,0,2,10,28.0,117300,241000,1,1,0.0,"Mira Loma, California",1,0,0,0,0,0,0,0,0.2,"Ontario, CA, USA",11.6725,12.3926,0.0,2,California,2,1,0.1
S02,Mystique Summers Madison,25,1,0,0,0,1,1,10,25.0,,,1,0,0.0,"Chicago, Illinois",0,0,0,1,0,0,0,0,0.1,"Fort Worth, TX, USA",,,0.1,2,Illinois,2,0,0.0
S02,Nicole Paige Brooks,36,0,0,0,0,0,1,10,36.0,,,1,0,0.0,"Atlanta, Georgia",0,0,1,0,0,0,0,0,0.1,"Atlanta, GA, USA",,,0.0,2,Georgia,1,0,0.0
S02,Pandora Boxx,37,0,0,0,4,1,1,10,37.0,201900,262000,1,0,0.4,"Rochester, New York",0,0,0,0,1,0,0,0,0.1,"Los Angeles, CA, USA",12.2155,12.4761,0.1,2,New York,2,4,0.0
S02,Raven,30,1,0,2,4,0,2,10,30.0,104000,242000,1,1,0.4,"Riverside, California",1,0,0,0,0,0,0,0,0.2,"Riverside, CA, USA",11.5522,12.3967,0.0,2,California,2,6,0.2
S02,Sahara Davenport,25,0,0,1,0,0,3,10,25.0,1476,,1,1,0.0,"New York, New York",0,0,0,0,1,0,0,0,0.3,NA,7.2978,,0.0,2,New York,3,1,0.1
S02,Shangela,28,0,0,0,0,0,1,10,28.0,,833000,1,0,0.0,"Paris, Texas",0,0,0,0,0,0,1,0,0.1,"Los Angeles, CA, USA",,13.6328,0.0,2,Texas,1,0,0.0
S02,Sonique,26,0,0,0,0,1,1,10,26.0,55500,,1,0,0.0,"Atlanta, Georgia",0,0,1,0,0,0,0,0,0.1,,10.9242,,0.1,2,Georgia,2,0,0.0
S02,Tatianna,21,0,0,1,1,1,2,10,21.0,,573000,1,1,0.1,"Falls Church, Virginia",0,0,0,0,0,0,0,0,0.2,"Washington, D.C., USA",,13.2586,0.1,2,Virginia,3,2,0.1
S02,Tyra Sanchez,21,1,0,4,2,1,0,10,21.0,128300,,0,1,0.2,"Orlando, Florida",0,1,0,0,0,0,0,0,0.0,"Atlanta, GA, USA",11.7621,,0.1,2,Florida,1,6,0.4
S03,Alexis Mateo,30,0,0,3,2,2,4,13,30.0,59400,115000,1,1,0.1538,"Saint Petersburg, Florida",0,1,0,0,0,0,0,0,0.3077,"Las Vegas, NV, USA",10.9921,11.6527,0.1538,3,Florida,6,5,0.2308
S03,Carmen Carrera,25,0,0,0,1,3,3,13,25.0,345500,454000,1,0,0.0769,"Elmwood Park, New Jersey",0,0,0,0,0,0,0,0,0.2308,"Los Angeles, CA, USA",12.7528,13.0259,0.2308,3,New Jersey,6,1,0.0
S03,Delta Work,34,0,0,0,1,0,3,13,34.0,96400,116000,1,0,0.0769,"Norwalk, California",1,0,0,0,0,0,0,0,0.2308,"Los Angeles, CA, USA",11.4763,11.6614,0.0,3,California,3,1,0.0
S03,India Ferrah,23,0,0,0,0,0,2,13,23.0,,,1,0,0.0,"Dayton, Ohio",0,0,0,0,0,0,0,0,0.1538,"Las Vegas, NV, USA",,,0.0,3,Ohio,2,0,0.0
S03,Manila Luzon,28,1,0,3,5,1,1,13,28.0,387100,565000,1,1,0.3846,"Cottage Grove, Minnesota",0,0,0,0,0,0,0,0,0.0769,"Los Angeles, CA, USAManila, Philippines",12.8664,13.2446,0.0769,3,Minnesota,2,8,0.2308
S03,Mariah,29,0,0,0,0,2,1,13,29.0,37900,,1,0,0.0,"Atlanta, Georgia",0,0,1,0,0,0,0,0,0.0769,"Los Angeles, CA, USA",10.5427,,0.1538,3,Georgia,3,0,0.0
S03,Mimi Imfurst,27,0,0,0,1,0,1,13,27.0,,,1,0,0.0769,"New York, New York",0,0,0,0,1,0,0,0,0.0769,"Philadelphia, PA, USA",,,0.0,3,New York,1,1,0.0
S03,Phoenix,29,1,0,0,0,0,1,13,29.0,,,1,0,0.0,"Atlanta, Georgia",0,0,1,0,0,0,0,0,0.0769,NA,,,0.0,3,Georgia,1,0,0.0
S03,Raja,36,1,0,4,4,1,1,13,36.0,485100,667000,1,1,0.3077,"Los Angeles, California",1,0,0,0,0,0,0,0,0.0769,"Los Angeles, CA, USA",13.0921,13.4105,0.0769,3,California,2,8,0.3077
S03,Shangela,29,0,0,2,1,1,3,13,29.0,261700,833000,1,1,0.0769,"Paris, Texas",0,0,0,0,0,0,1,0,0.2308,"Los Angeles, CA, USA",12.475,13.6328,0.0769,3,Texas,4,3,0.1538
S03,Stacy Layne Matthews,25,0,0,1,1,0,2,13,25.0,34400,,1,1,0.0769,"Back Swamp, North Carolina",0,0,0,0,0,0,0,0,0.1538,"Fayetteville, NC, USA",10.4458,,0.0,3,North Carolina,2,2,0.0769
S03,Venus D-Lite,26,0,0,0,0,0,1,13,26.0,,,1,0,0.0,"Los Angeles, California",1,0,0,0,0,0,0,0,0.0769,"Tampa, FL, USA",,,0.0,3,California,1,0,0.0
S03,Yara Sofia,26,1,0,1,4,2,2,13,26.0,154600,202000,1,1,0.3077,"Manatí, Puerto Rico",0,0,0,0,0,1,0,0,0.1538,"Las Vegas, NV, USA",11.9486,12.216,0.1538,3,Puerto Rico,4,5,0.0769
S04,Alisa Summers,23,0,0,0,0,0,1,12,23.0,,,1,0,0.0,"Tampa, Florida",0,1,0,0,0,0,0,0,0.0833,NA,,,0.0,4,Florida,1,0,0.0
S04,Chad Michaels,40,1,0,2,4,1,1,12,40.0,199000,341000,1,1,0.3333,"San Diego, California",1,0,0,0,0,0,0,0,0.0833,"San Diego, CA, USA",12.2011,12.7396,0.0833,4,California,2,6,0.1667
S04,Dida Ritz,25,0,0,0,0,2,2,12,25.0,,,1,0,0.0,"Chicago, Illinois",0,0,0,1,0,0,0,0,0.1667,"Chicago, IL, USA",,,0.1667,4,Illinois,4,0,0.0
S04,Jiggly Caliente,30,0,0,0,0,0,3,12,30.0,99600,131000,1,0,0.0,"Queens, New York",0,0,0,0,1,0,0,0,0.25,"Manila, Philippines",11.5089,11.783,0.0,4,New York,3,0,0.0
